species_id,scientific_name,spread_mechanisms,primary_mechanism,waterway_direction_eligible,waterway_evidence_type,evidence_strength,source_title,source_organisation,source_url,evidence_summary,reviewed_at
oxalis_corniculata,Oxalis corniculata,BALLISTIC|ANIMAL_EXTERNAL|HUMAN_HORTICULTURE,BALLISTIC,false,none,moderate,Oxalis corniculata L.,Botanical Society of Britain and Ireland Fermanagh,https://fermanagh.bsbi.org/oxalis-corniculata-l,"Seeds are mainly ejected by explosive capsules; sticky seeds can be moved by animals and people can spread the plant through pots and garden waste.",2026-09-10
parthenium_hysterophorus,Parthenium hysterophorus,WIND|WATER|ANIMAL_EXTERNAL|HUMAN_VEHICLE_SOIL,WIND,true,flowing_water_or_runoff,strong,Parthenium hysterophorus,Weeds of Australia / Lucidcentral,https://keyserver.lucidcentral.org/weeds/data/media/Html/parthenium_hysterophorus.htm,"Seeds can be moved by wind, water, animals, vehicles, machinery, clothing, mud and contaminated produce.",2026-09-10
paspalum_vaginatum,Paspalum vaginatum,SEED|VEGETATIVE,VEGETATIVE,false,water_vector_not_established,moderate,Paspalum vaginatum,New Zealand Flora,https://www.nzflora.info/factsheet/Weed/Paspalum-vaginatum.html,"The factsheet records spread by seed and vegetative material. It does not establish a directed waterway transport pathway, so this species receives distance-only association.",2026-09-10
pennisetum_polystachyum,Pennisetum polystachyum,WIND|WATER|ANIMAL_EXTERNAL|HUMAN_CONTAMINATED_MATERIAL,WIND,true,flowing_water_or_runoff,strong,Cenchrus polystachios,Weeds of Australia / Lucidcentral,https://keyserver.lucidcentral.org/weeds/data/media/Html/cenchrus_polystachios.htm,"Light fluffy seeds move by wind, water and animals, and on clothing, vehicles, hay or grain.",2026-09-10
psidium_guajava,Psidium guajava,ANIMAL_INGESTION|VEGETATIVE,ANIMAL_INGESTION,false,none,strong,Psidium guajava,Weeds of Australia / Lucidcentral,https://keyserver.lucidcentral.org/weeds/data/media/Html/psidium_guajava.htm,"Fruit-eating birds, bats and mammals disperse seed; established plants also spread locally by suckering or resprouting.",2026-09-10
rottboellia_cochinchinensis,Rottboellia cochinchinensis,ANIMAL|WATER|HUMAN_MACHINERY|HUMAN_CONTAMINATED_SEED,HUMAN_MACHINERY,true,flowing_water_or_runoff,strong,Rottboellia cochinchinensis - Itchgrass,Florida Department of Agriculture and Consumer Services,https://www.fdacs.gov/Agriculture-Industry/Pests-and-Diseases/Plant-Pests-and-Diseases/Noxious-Weeds/Rottboellia-cochinchinensis-Itchgrass,"The official profile identifies ants, birds, livestock, water, farm machinery and crop-seed contamination as dispersal pathways.",2026-09-10
ruellia_blechum,Ruellia blechum,BALLISTIC,BALLISTIC,false,none,strong,Ruellia blechum,Bishop Museum Plants of Hawai'i,https://plantsofhawaii.org/detail/%7B9C3FA4C1-183B-4C8A-A523-848D79CC056C%7D,"The species account states that capsules dehisce explosively and eject seeds.",2026-09-10
salvinia_molesta,Salvinia molesta,WATER|VEGETATIVE|WIND|ANIMAL_EXTERNAL|HUMAN_BOAT_AQUARIUM,WATER,true,floating_aquatic_fragments,strong,Salvinia molesta,Weeds of Australia / Lucidcentral,https://keyserver.lucidcentral.org/weeds/data/media/Html/salvinia_molesta.htm,"The sterile fern spreads through floating vegetative fragments moved by currents, floods, wind, animals, vehicles, boats and discarded aquatic material.",2026-09-10
sida_acuta,Sida acuta,ANIMAL_EXTERNAL|HUMAN_CLOTHING_SOIL,ANIMAL_EXTERNAL,false,none,strong,Sida acuta,Weeds of Australia / Lucidcentral,https://keyserver.lucidcentral.org/weeds/data/media/Html/sida_acuta.htm,"Bristly fruits or seeds attach to animals, clothing and other materials and can also move in mud or contaminated produce.",2026-09-10
striga_asiatica,Striga asiatica,HUMAN_CLOTHING_MACHINERY|HUMAN_CONTAMINATED_MATERIAL,HUMAN_CLOTHING_MACHINERY,false,none,strong,Striga asiatica,Weeds of Australia / Lucidcentral,https://keyserver.lucidcentral.org/weeds/data/media/Html/striga_asiatica.htm,"The dust-like seeds are moved on clothing, machinery and contaminated items. The selected source does not justify a waterway-direction rule.",2026-09-10
synedrella_nodiflora,Synedrella nodiflora,ANIMAL_EXTERNAL|HUMAN_CLOTHING|WIND|WATER,ANIMAL_EXTERNAL,true,rain_or_flowing_water,strong,Pollination ecology of Synedrella nodiflora,Journal of Threatened Taxa,https://threatenedtaxa.org/index.php/JoTT/article/download/4008/6017/20420?inline=1,"A peer-reviewed open-access study records zoochory, anthropochory, wind dispersal and rain-water dispersal; water was an efficient vector during the rainy season.",2026-09-10
urochloa_mutica,Urochloa mutica,WATER|VEGETATIVE|ANIMAL|HUMAN_PLANTING,WATER,true,flood_transport,strong,Urochloa mutica,Weeds of Australia / Lucidcentral,https://keyserver.lucidcentral.org/weeds/data/media/Html/urochloa_mutica.htm,"Seed and stem segments are spread by floods and animals; the grass has also been deliberately planted as pasture.",2026-09-10
